Date,market_value,balance,stock_owned,price,action,amount
2024-12-02 14:15:00,100650.40488393861,50620.763892727664,116,431.2900085449219,buy,0
2024-12-02 14:30:00,100674.76389272767,50620.763892727664,116,431.5,buy,0
2024-12-02 14:45:00,100644.6381603058,50620.763892727664,116,431.24029541015625,sell,0
2024-12-02 15:00:00,100699.70346792298,50620.763892727664,116,431.7149963378906,sell,0
2024-12-02 15:15:00,100682.88474233705,50620.763892727664,116,431.57000732421875,sell,0
2024-12-02 15:30:00,100627.20346792298,50620.763892727664,116,431.0899963378906,buy,0
2024-12-02 15:45:00,100613.28403432923,50620.763892727664,116,430.9700012207031,buy,0
2024-12-03 09:30:00,100483.36460073548,50620.763892727664,116,429.8500061035156,sell,0
2024-12-03 09:45:00,100641.83090932923,50620.763892727664,116,431.2160949707031,buy,0
2024-12-03 10:00:00,100675.92502554017,50620.763892727664,116,431.510009765625,buy,0
2024-12-03 10:15:00,100413.11646512146,41120.03595975037,138,429.6600036621094,buy,22
2024-12-03 10:30:00,100477.28595975037,41120.03595975037,138,430.125,buy,0
2024-12-03 10:45:00,100562.15461209412,41120.03595975037,138,430.739990234375,buy,0
2024-12-03 11:00:00,100671.17579129334,41120.03595975037,138,431.5299987792969,buy,0
2024-12-03 11:15:00,100652.54444363709,41120.03595975037,138,431.3949890136719,buy,0
2024-12-03 11:30:00,100490.69935086365,41120.03595975037,138,430.2221984863281,buy,0
2024-12-03 11:45:00,100540.07410672303,41120.03595975037,138,430.5799865722656,buy,0
2024-12-03 12:00:00,100535.93427518006,41120.03595975037,138,430.54998779296875,buy,0
2024-12-03 12:15:00,100472.45545437928,41120.03595975037,138,430.0899963378906,buy,0
2024-12-03 12:30:00,100487.63764432068,41120.03595975037,138,430.20001220703125,buy,0
2024-12-03 12:45:00,100512.4766335785,41120.03595975037,138,430.3800048828125,buy,0
2024-12-03 13:00:00,100437.94282010193,41120.03595975037,138,429.83990478515625,buy,0
2024-12-03 13:15:00,100459.34528592225,41120.03595975037,138,429.9949951171875,sell,0
2024-12-03 13:30:00,100477.9766335785,41120.03595975037,138,430.1300048828125,buy,0
2024-12-03 13:45:00,100469.69697049256,41120.03595975037,138,430.07000732421875,buy,0
2024-12-03 14:00:00,100495.2266335785,41120.03595975037,138,430.2550048828125,buy,0
2024-12-03 14:15:00,100399.31562283631,41120.03595975037,138,429.55999755859375,buy,0
2024-12-03 14:30:00,100396.55713894959,41120.03595975037,138,429.5400085449219,buy,0
2024-12-03 14:45:00,100486.25629666443,41120.03595975037,138,430.19000244140625,buy,0
2024-12-03 15:00:00,100509.713938266,41120.03595975037,138,430.3599853515625,buy,0
2024-12-03 15:15:00,100532.81782010193,41120.03595975037,138,430.52740478515625,buy,0
2024-12-03 15:30:00,100535.93427518006,41120.03595975037,138,430.54998779296875,buy,0
2024-12-03 15:45:00,100617.35798123475,41120.03595975037,138,431.1400146484375,buy,0
2024-12-04 09:30:00,101517.11646512146,41120.03595975037,138,437.6600036621094,buy,0
2024-12-04 09:45:00,101570.93427518006,41120.03595975037,138,438.04998779296875,buy,0
2024-12-04 10:00:00,101428.79444363709,41120.03595975037,138,437.0199890136719,buy,0
2024-12-04 10:15:00,101580.59528592225,41120.03595975037,138,438.1199951171875,buy,0
2024-12-04 10:30:00,101605.43427518006,41120.03595975037,138,438.29998779296875,buy,0
2024-12-04 10:45:00,101697.90876248475,41120.03595975037,138,438.9700927734375,sell,0
2024-12-04 11:00:00,101730.49256375428,41120.03595975037,138,439.2062072753906,buy,0
2024-12-04 11:15:00,101488.82410672303,41120.03595975037,138,437.4549865722656,buy,0
2024-12-04 11:30:00,101376.35798123475,41120.03595975037,138,436.6400146484375,buy,0
2024-12-04 11:45:00,101421.8961282074,41120.03595975037,138,436.9700012207031,buy,0
2024-12-04 12:00:00,101408.09528592225,41120.03595975037,138,436.8699951171875,sell,0
2024-12-04 12:15:00,101495.03595975037,41120.03595975037,138,437.5,buy,0
2024-12-04 12:30:00,101383.25629666443,41120.03595975037,138,436.69000244140625,buy,0
2024-12-04 12:45:00,101431.55713894959,41120.03595975037,138,437.0400085449219,buy,0
2024-12-04 13:00:00,101491.58680203553,41120.03595975037,138,437.4750061035156,sell,0
2024-12-04 13:15:00,101457.77747586365,41120.03595975037,138,437.2300109863281,buy,0
2024-12-04 13:30:00,101413.61646512146,41120.03595975037,138,436.9100036621094,buy,0
2024-12-04 13:45:00,101416.37494900818,41120.03595975037,138,436.92999267578125,buy,0
2024-12-04 14:00:00,101450.87494900818,41120.03595975037,138,437.17999267578125,buy,0
2024-12-04 14:15:00,101555.75629666443,41120.03595975037,138,437.94000244140625,buy,0
2024-12-04 14:30:00,101546.09528592225,41120.03595975037,138,437.8699951171875,buy,0
2024-12-04 14:45:00,101582.01874783631,41120.03595975037,138,438.13031005859375,buy,0
2024-12-04 15:00:00,101597.15461209412,41120.03595975037,138,438.239990234375,buy,0
2024-12-04 15:15:00,101519.87494900818,41120.03595975037,138,437.67999267578125,buy,0
2024-12-04 15:30:00,101530.2266335785,41120.03595975037,138,437.7550048828125,sell,0
2024-12-04 15:45:00,101471.57410672303,41120.03595975037,138,437.3299865722656,sell,0
2024-12-05 09:30:00,101514.35798123475,41120.03595975037,138,437.6400146484375,buy,0
2024-12-05 09:45:00,101474.68213894959,41120.03595975037,138,437.3525085449219,buy,0
2024-12-05 10:00:00,101384.63764432068,41120.03595975037,138,436.70001220703125,buy,0
2024-12-05 10:15:00,101564.03595975037,41120.03595975037,138,438.0,buy,0
2024-12-05 10:30:00,101700.65461209412,41120.03595975037,138,438.989990234375,buy,0
2024-12-05 10:45:00,101649.59528592225,41120.03595975037,138,438.6199951171875,buy,0
2024-12-05 11:00:00,101705.48511746521,41120.03595975037,138,439.0249938964844,buy,0
2024-12-05 11:15:00,101790.35798123475,41120.03595975037,138,439.6400146484375,buy,0
2024-12-05 11:30:00,101807.74274685975,41120.03595975037,138,439.7659912109375,buy,0
2024-12-05 11:45:00,102033.23511746521,41120.03595975037,138,441.3999938964844,buy,0
2024-12-05 12:00:00,102316.13764432068,41120.03595975037,138,443.45001220703125,buy,0
2024-12-05 12:15:00,102232.6461282074,41120.03595975037,138,442.8450012207031,sell,0
2024-12-05 12:30:00,102251.27747586365,41120.03595975037,138,442.9800109863281,buy,0
2024-12-05 12:45:00,102384.44697049256,41120.03595975037,138,443.94500732421875,buy,0
2024-12-05 13:00:00,102408.59528592225,41120.03595975037,138,444.1199951171875,buy,0
2024-12-05 13:15:00,102306.4766335785,41120.03595975037,138,443.3800048828125,sell,0
2024-12-05 13:30:00,102387.8961282074,41120.03595975037,138,443.9700012207031,sell,0
2024-12-05 13:45:00,102227.81562283631,41120.03595975037,138,442.80999755859375,buy,0
2024-12-05 14:00:00,102303.713938266,41120.03595975037,138,443.3599853515625,buy,0
2024-12-05 14:15:00,102252.67145779725,41120.03595975037,138,442.9901123046875,buy,0
2024-12-05 14:30:00,102294.06977322693,41120.03595975037,138,443.29010009765625,buy,0
2024-12-05 14:45:00,102257.48511746521,41120.03595975037,138,443.0249938964844,buy,0
2024-12-05 15:00:00,102246.44697049256,41120.03595975037,138,442.94500732421875,buy,0
2024-12-05 15:15:00,102174.54950955506,41120.03595975037,138,442.42401123046875,buy,0
2024-12-05 15:30:00,102313.37494900818,41120.03595975037,138,443.42999267578125,buy,0
2024-12-05 15:45:00,102202.9766335785,41120.03595975037,138,442.6300048828125,sell,0
2024-12-06 09:30:00,102482.42579129334,41120.03595975037,138,444.6549987792969,buy,0
2024-12-06 09:45:00,102572.81562283631,41120.03595975037,138,445.30999755859375,buy,0
2024-12-06 10:00:00,102406.52747586365,41120.03595975037,138,444.1050109863281,buy,0
2024-12-06 10:15:00,102505.19697049256,41120.03595975037,138,444.82000732421875,sell,0
2024-12-06 10:30:00,102435.94849637146,41120.03595975037,138,444.3182067871094,sell,0
2024-12-06 10:45:00,102300.95545437928,41120.03595975037,138,443.3399963378906,buy,0
2024-12-06 11:00:00,102270.59528592225,41120.03595975037,138,443.1199951171875,buy,0
2024-12-06 11:15:00,102435.50629666443,41120.03595975037,138,444.31500244140625,buy,0
2024-12-06 11:30:00,102368.57410672303,41120.03595975037,138,443.8299865722656,buy,0
2024-12-06 11:45:00,102227.12494900818,41120.03595975037,138,442.80499267578125,sell,0
2024-12-06 12:00:00,102300.95545437928,41120.03595975037,138,443.3399963378906,buy,0
2024-12-06 12:15:00,102249.8961282074,41120.03595975037,138,442.9700012207031,buy,0
2024-12-06 12:30:00,102247.13764432068,41120.03595975037,138,442.95001220703125,buy,0
2024-12-06 12:45:00,102171.23511746521,41120.03595975037,138,442.3999938964844,sell,0
2024-12-06 13:00:00,102316.13764432068,41120.03595975037,138,443.45001220703125,buy,0
2024-12-06 13:15:00,102292.67579129334,41120.03595975037,138,443.2799987792969,buy,0
2024-12-06 13:30:00,102315.44697049256,41120.03595975037,138,443.44500732421875,buy,0
2024-12-06 13:45:00,102023.24424511414,102023.24424511414,0,443.58990478515625,sell,138
2024-12-06 14:00:00,102023.24424511414,102023.24424511414,0,443.2900085449219,buy,0
2024-12-06 14:15:00,102023.24424511414,102023.24424511414,0,443.05999755859375,buy,0
2024-12-06 14:30:00,102023.24424511414,102023.24424511414,0,443.6400146484375,buy,0
2024-12-06 14:45:00,102023.24424511414,102023.24424511414,0,443.7650146484375,buy,0
2024-12-06 15:00:00,102023.24424511414,102023.24424511414,0,444.30499267578125,buy,0
2024-12-06 15:15:00,102023.24424511414,102023.24424511414,0,444.2749938964844,buy,0
2024-12-06 15:30:00,102023.24424511414,102023.24424511414,0,444.6050109863281,buy,0
2024-12-06 15:45:00,102023.24424511414,102023.24424511414,0,443.5199890136719,buy,0
